Date,Close,High,Low,Open,Volume,ticker,daily_return,moving_avg_7d,year,month
,MSFT,MSFT,MSFT,MSFT,MSFT,,,,,
2021-01-04,208.4065399169922,213.4900908644091,205.64935379985505,213.04013300201316,37130100,MSFT,,,2021,1
2021-01-05,208.60757446289062,209.2011442852732,206.5013971335944,207.9948680651304,23823000,MSFT,0.000964626858535711,,2021,1
2021-01-06,203.19850158691406,207.2576901048468,202.90172401611616,203.12191147056765,35930700,MSFT,-0.025929417423616985,,2021,1
2021-01-07,208.98095703125,209.98618241670528,204.5962852345555,204.91219943951467,27694500,MSFT,0.028457175614863495,,2021,1
2021-01-08,210.2542266845703,211.17329358978736,207.77468161014076,209.35431096289832,22956200,MSFT,0.006092754437572623,,2021,1
2021-01-11,208.21505737304688,209.5744991531238,207.48745852732125,209.15326079150833,23031300,MSFT,-0.0096985889115212,,2021,1
2021-01-12,205.7642059326172,207.84167815630275,204.22287913451353,207.26725958443384,23249300,MSFT,-0.011770769469561682,207.63243756975447,2021,1
2021-01-13,207.1140899658203,207.51617714350778,204.80686188159456,204.8930348974412,20087100,MSFT,0.006560344288671693,207.4478018624442,2021,1
2021-01-14,203.9357147216797,208.1863721862061,203.66765655797752,206.7024693890927,29480800,MSFT,-0.0153460116820886,206.78039332798548,2021,1
2021-01-15,203.58148193359375,205.3621623545727,202.9879266626255,204.41439050035876,31746500,MSFT,-0.0017369826004698385,206.8351048060826,2021,1
2021-01-19,207.2098388671875,207.7268039408653,203.5623200569144,204.63455257006677,30480900,MSFT,0.017822627574630268,206.58208792550224,2021,1
2021-01-20,214.77294921875,216.16111060778343,208.0235956832945,208.4161146150016,37777300,MSFT,0.0364997646487728,207.22761971609933,2021,1
2021-01-21,215.37603759765625,216.64932080348763,212.93478076265833,215.1175477989207,30709400,MSFT,0.002808027645474054,208.25061689104353,2021,1
2021-01-22,216.31427001953125,220.25858092455158,216.17067267204894,217.39608539747118,30172700,MSFT,0.004356252591236398,209.75776890345983,2021,1
2021-01-25,219.7416229248047,219.98096159958953,214.6580718096666,219.34910399221997,33152100,MSFT,0.015844321805325023,211.56170218331474,2021,1
2021-01-26,222.42222595214844,224.1933234360386,220.26817781179568,221.97226806085106,49169600,MSFT,0.012198886090238226,214.202632359096,2021,1
2021-01-27,222.96788024902344,230.18634210552298,220.32558681486526,227.85039454682703,69870600,MSFT,0.002453236382016888,216.9721178327288,2021,1
2021-01-28,228.74070739746094,232.29249907784185,225.06446956354168,225.56229800190698,49111200,MSFT,0.025890846439361903,220.04795619419642,2021,1
2021-01-29,222.06800842285156,227.86957571864957,221.4840214563199,225.92614679568288,42503100,MSFT,-0.029171453785070578,221.09010750906808,2021,1
2021-02-01,229.4300537109375,232.15852051694344,222.51795143659126,225.03579903471945,33314200,MSFT,0.033152210173684526,223.0978240966797,2021,2
2021-02-02,229.29598999023438,231.97658573343273,228.51096683153912,231.00966286740996,25916300,MSFT,-0.0005843337371660429,224.95235552106584,2021,2
2021-02-03,232.6371612548828,234.63802880665224,229.0566498927126,229.35344208114293,27158100,MSFT,0.014571433476838092,226.79457528250558,2021,2
2021-02-04,231.68936157226562,232.86691814686066,230.11930074754287,232.31165077361996,25296100,MSFT,-0.004074154264540497,228.11845179966517,2021,2
