Date,Close,High,Low,Open,Volume,ticker,daily_return,moving_avg_7d,year,month
,LMT,LMT,LMT,LMT,LMT,,,,,
2021-01-04,298.82489013671875,307.7903269355657,295.7294659227453,307.7903269355657,1887200,LMT,,,2021,1
2021-01-05,302.4232482910156,304.5041965185218,297.6630491215577,298.8249381221019,1479100,LMT,0.012041694895798427,,2021,1
2021-01-06,301.7642517089844,305.13714302191727,297.21216617891827,297.40292129765345,1897500,LMT,-0.002179053977348744,,2021,1
2021-01-07,297.0126647949219,301.6081183578302,295.96352510944905,298.58204800119177,2048900,LMT,-0.015746023218962457,,2021,1
2021-01-08,291.4201965332031,297.8104535593754,290.4751000106201,296.4318250652942,3226300,LMT,-0.01882905655077094,,2021,1
2021-01-11,292.7901306152344,293.9346613107267,289.0097447225168,290.4664057200397,3196400,LMT,0.0047008892943189995,,2021,1
2021-01-12,296.4057922363281,297.72371980615094,291.01265385219375,291.7843269447057,3002200,LMT,0.012348987356562313,297.2344534737723,2021,1
2021-01-13,299.56195068359375,301.0446492633506,294.08212598827333,296.02434099619984,1648100,LMT,0.010648099767055719,297.3397478376116,2021,1
2021-01-14,301.25274658203125,307.62567287295883,300.74118194924876,301.73830035079754,1965600,LMT,0.005644227828598192,297.1725333077567,2021,1
2021-01-15,301.10528564453125,303.90591170333823,298.51277292509667,300.94922048552064,1853100,LMT,-0.000489492425124971,297.0783952985491,2021,1
2021-01-19,296.1023254394531,304.31342173041844,296.0849936870915,304.11398750515235,2017200,LMT,-0.016615318440422078,296.94834681919644,2021,1
2021-01-20,296.2496337890625,298.0791252958812,294.12531737091933,297.003974892279,1780000,LMT,0.0004974913634694378,297.63826642717635,2021,1
2021-01-21,294.515625,297.93183263610786,293.8999905407483,296.24975290860124,1661800,LMT,-0.005853201460148116,297.884765625,2021,1
2021-01-22,294.6976623535156,296.39710007196436,292.3825902565939,293.7091968741794,1557600,LMT,0.0006180906480450776,297.6407470703125,2021,1
2021-01-25,297.8450927734375,300.77577263508937,292.9808511225328,294.2467568546041,1976600,LMT,0.010680201514955634,297.3954816545759,2021,1
2021-01-26,286.7293395996094,298.25262529081743,286.7293395996094,293.93463789849625,3542400,LMT,-0.03732058524222037,295.3207092285156,2021,1
2021-01-27,288.30743408203125,291.09938097811505,285.84497571105845,288.10799985349274,2666300,LMT,0.005503777480970529,293.49244471958707,2021,1
2021-01-28,284.3362121582031,290.1888925318627,283.68591433890765,287.9865696355425,1837800,LMT,-0.013774261272424204,291.8115713936942,2021,1
2021-01-29,279.0385437011719,285.2467251358247,278.95183200876266,283.61664057702785,2101100,LMT,-0.018631705110018326,289.35284423828125,2021,1
2021-02-01,280.9546813964844,282.3593205154793,277.2956711106405,281.69169091689287,1615500,LMT,0.006866928381638049,287.41556658063615,2021,2
2021-02-02,288.4721374511719,290.63979695573227,283.26107553478874,283.9026942807187,2065400,LMT,0.02675682788883238,286.52620588030135,2021,2
2021-02-03,288.203369140625,289.07908564599927,284.6570546676452,287.5877347482988,2683100,LMT,-0.0009316959097734889,285.14881678989957,2021,2
2021-02-04,292.3999328613281,293.4317408933425,288.0212448239451,289.5906281746856,2174100,LMT,0.014561119577528148,285.95890154157365,2021,2
2021-02-05,292.23516845703125,296.0329118474891,291.766946631454,294.4461703955215,1454700,LMT,-0.0005634898841615499,286.52000645228793,2021,2
2021-02-08,292.9288330078125,294.36816210087835,290.63979831981084,293.9433093034105,1549900,LMT,0.0023736518586852107,287.74752371651783,2021,2
