date,close,high,low,open,volume,ticker,daily_return,moving_avg_7d,year,month
2021-01-04,23.3700008392334,24.5,22.5,23.90999984741211,44970400,PLTR,,,2021,1
2021-01-05,24.600000381469727,24.670000076293945,22.889999389648438,23.18000030517578,29050400,PLTR,0.05263155746966919,,2021,1
2021-01-06,23.540000915527344,24.459999084472656,23.25,24.1200008392334,32732900,PLTR,-0.04308940851646659,,2021,1
2021-01-07,25.0,25.190000534057617,23.670000076293945,24.020000457763672,32240000,PLTR,0.062022048754875714,,2021,1
2021-01-08,25.200000762939453,26.440000534057617,24.700000762939453,25.700000762939453,41313800,PLTR,0.008000030517578027,,2021,1
2021-01-11,25.93000030517578,26.600000381469727,24.309999465942383,24.610000610351562,32609000,PLTR,0.028968234926004754,,2021,1
2021-01-12,26.18000030517578,26.420000076293945,25.510000228881836,26.34000015258789,26887200,PLTR,0.009641341961345695,24.831429072788783,2021,1
2021-01-13,25.5,27.43000030517578,25.1299991607666,25.709999084472656,51216600,PLTR,-0.025974037328080013,25.13571466718401,2021,1
2021-01-14,24.920000076293945,25.6200008392334,24.3700008392334,25.450000762939453,32908000,PLTR,-0.02274509504729627,25.181428909301758,2021,1
2021-01-15,25.639999389648438,28.0,25.459999084472656,26.260000228881836,92285500,PLTR,0.028892428216299226,25.481428691319056,2021,1
2021-01-19,26.6200008392334,27.540000915527344,26.0,26.809999465942383,48675800,PLTR,0.03822158630708139,25.712857382638113,2021,1
2021-01-20,26.34000015258789,27.299999237060547,25.700000762939453,27.290000915527344,37459000,PLTR,-0.010518432675360123,25.875714438302175,2021,1
2021-01-21,25.979999542236328,26.68000030517578,25.299999237060547,26.420000076293945,29891400,PLTR,-0.013667449060974723,25.882857186453684,2021,1
2021-01-22,32.58000183105469,32.650001525878906,25.81999969482422,25.850000381469727,156844700,PLTR,0.2540416630142188,26.797143118722097,2021,1
2021-01-25,36.22999954223633,39.58000183105469,29.559999465942383,34.459999084472656,191345300,PLTR,0.11203184487554352,28.330000196184432,2021,1
2021-01-26,35.369998931884766,36.869998931884766,34.31999969482422,35.13999938964844,65870000,PLTR,-0.02373725148268324,29.82285717555455,2021,1
2021-01-27,39.0,45.0,32.25,32.970001220703125,170758800,PLTR,0.10262938020173129,31.731428691319056,2021,1
2021-01-28,35.65999984741211,42.0,33.099998474121094,39.540000915527344,85250700,PLTR,-0.0856410295535357,33.02285712105887,2021,1
2021-01-29,35.18000030517578,38.0099983215332,34.65999984741211,36.61000061035156,42030900,PLTR,-0.013460447119748475,34.285714285714285,2021,1
2021-02-01,33.959999084472656,35.619998931884766,32.58000183105469,35.33000183105469,43460900,PLTR,-0.03467882916770848,35.42571422031948,2021,2
2021-02-02,31.020000457763672,34.20000076293945,30.5,34.099998474121094,69647900,PLTR,-0.08657240005796185,35.2028568812779,2021,2
2021-02-03,31.760000228881836,32.95000076293945,31.3799991607666,32.38999938964844,35312000,PLTR,0.0238555693165039,34.56428555079869,2021,2
2021-02-04,32.04999923706055,33.18000030517578,31.049999237060547,32.58000183105469,31565000,PLTR,0.009130951073325067,34.08999988010952,2021,2
2021-02-05,34.04999923706055,35.20000076293945,31.75,32.61000061035156,62375300,PLTR,0.062402497585314354,33.38285691397531,2021,2
2021-02-08,36.04999923706055,39.220001220703125,35.88999938964844,37.220001220703125,72376000,PLTR,0.05873715256425527,33.43857111249651,2021,2
2021-02-09,38.16999816894531,38.255001068115234,36.130001068115234,36.900001525878906,44243200,PLTR,0.05880718382111194,33.86571366446359,2021,2
2021-02-10,35.70000076293945,38.2400016784668,35.0,38.150001525878906,45177200,PLTR,-0.06471044077794641,34.11428533281599,2021,2
