Date,Close,High,Low,Open,Volume,ticker,daily_return,moving_avg_7d,year,month,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume,Close,High,Low,Open,Volume
,TSLA,TSLA,TSLA,TSLA,TSLA,,,,,,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,PLTR,PLTR,PLTR,PLTR,PLTR,AMD,AMD,AMD,AMD,AMD,LMT,LMT,LMT,LMT,LMT,AVGO,AVGO,AVGO,AVGO,AVGO
2021-01-04,243.2566680908203,248.163330078125,239.06333923339844,239.82000732421875,145914600.0,TSLA,,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-05,245.0366668701172,246.94667053222656,239.73333740234375,241.22000122070312,96735600.0,TSLA,0.007317368906131216,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-06,251.9933319091797,258.0,249.6999969482422,252.8300018310547,134100000.0,TSLA,0.028390302267496503,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-07,272.0133361816406,272.3299865722656,258.3999938964844,259.2099914550781,154496700.0,TSLA,0.07944656360858104,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-08,293.3399963378906,294.8299865722656,279.46331787109375,285.3333435058594,225166500.0,TSLA,0.07840299470467449,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-11,270.39666748046875,284.80999755859375,267.8733215332031,283.1333312988281,177904800.0,TSLA,-0.07821411721500826,,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-12,283.14666748046875,289.3333435058594,275.7799987792969,277.0,138812100.0,TSLA,0.047152947996006445,265.59761919294084,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-13,284.8033447265625,286.8233337402344,277.3333435058594,284.2533264160156,99937500.0,TSLA,0.005850950889994211,271.5328587123326,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-14,281.6666564941406,287.6666564941406,279.5833435058594,281.1300048828125,93798900.0,TSLA,-0.011013523157297866,276.7657143729074,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15,275.38665771484375,286.6333312988281,273.0333251953125,284.0,116332800.0,TSLA,-0.02229585445953386,280.1076180594308,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-19,281.51666259765625,283.3333435058594,277.6666564941406,279.26666259765625,76101000.0,TSLA,0.022259629183487784,281.4652361188616,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-20,283.48333740234375,286.5,279.09332275390625,286.2466735839844,76997700.0,TSLA,0.00698599786790699,280.05714198521207,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-21,281.663330078125,285.239990234375,280.47332763671875,285.0,61563300.0,TSLA,-0.006420156263490129,281.66666521344865,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-22,282.21331787109375,282.6666564941406,276.2066650390625,278.10333251953125,60199500.0,TSLA,0.0019526425140830028,281.53332955496654,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-25,293.6000061035156,300.1333312988281,279.6066589355469,285.0,123520200.0,TSLA,0.040347806114603646,282.7899954659598,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-26,294.36334228515625,298.6333312988281,290.5333251953125,297.1266784667969,69394800.0,TSLA,0.0025999188207492807,284.6038077218192,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-27,288.0533447265625,297.1666564941406,286.2200012207031,290.1166687011719,82002000.0,TSLA,-0.02143608477064074,286.41333443777904,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-28,278.4766540527344,282.6666564941406,267.0,273.3333435058594,79134000.0,TSLA,-0.033246240146660666,285.9790475027902,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-29,264.510009765625,280.8033447265625,260.0333251953125,276.6666564941406,104972400.0,TSLA,-0.05015373491403896,283.26857212611606,2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,279.9366760253906,280.6666564941406,265.1866760253906,271.42999267578125,76174200.0,TSLA,0.058321672867634566,283.0219072614397,2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-02,290.92999267578125,293.5,280.73333740234375,281.55999755859375,73038600.0,TSLA,0.039270726531715816,284.2671465192522,2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,284.89666748046875,292.6933288574219,284.35333251953125,292.3399963378906,55030500.0,TSLA,-0.020738065332563282,283.0238124302455,2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-04,283.3299865722656,285.5,277.8066711425781,285.0,47438100.0,TSLA,-0.005499119810906672,281.44761875697543,2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-05,284.07666015625,288.25665283203125,279.65667724609375,281.6666564941406,55699800.0,TSLA,0.0026353496607176563,280.87952096121654,2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-08,287.8066711425781,292.5899963378906,284.9166564941406,289.8900146484375,60485100.0,TSLA,0.0131302972383458,282.2123805454799,2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-09,283.1533203125,286.6000061035156,280.5833435058594,285.0400085449219,45473100.0,TSLA,-0.016168321643152184,284.8757106236049,2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,268.2733459472656,281.6066589355469,266.67333984375,281.21331787109375,108648300.0,TSLA,-0.052550944303998315,283.2095206124442,2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-11,270.5533447265625,276.6266784667969,267.24334716796875,270.8133239746094,64868400.0,TSLA,0.008498789811735685,280.29857090541293,2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-12,272.0400085449219,272.4433288574219,261.77667236328125,267.086669921875,71304900.0,TSLA,0.005494900903412869,278.461905343192,2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,265.40667724609375,273.6666564941406,264.14666748046875,272.6666564941406,59406900.0,TSLA,-0.024383660823671716,275.9014325823103,2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-17,266.04998779296875,266.61334228515625,254.00332641601562,259.6966552734375,77989500.0,TSLA,0.0024238672272682837,273.3261936732701,2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
